Range,Count,Percentage
0-5,18855,38.98157911058736
6-10,8119,16.785544460294815
11-20,7861,16.25214496888503
21-50,7544,15.596766524013313
51-100,3120,6.450412454257892
101-200,1594,3.295499183361244
201-500,1276,2.6380532986003433
501-∞,0,0.0
