field,count,mean_citations,median_citations,std_citations,min_citations,max_citations
q-bio.QM,1569,20.590822179732314,7.0,45.96702808335481,1,500
q-bio.SC,12,19.0,6.0,25.75408175945567,1,74
q-bio.TO,27,32.148148148148145,12.0,84.52796701670523,1,448
q-fin.CP,38,16.789473684210527,4.5,26.44847913140099,1,116
q-fin.GN,33,15.787878787878787,7.0,20.869771165128967,1,83
q-fin.MF,24,12.416666666666666,6.5,12.84325797305025,1,47
q-fin.PM,39,8.025641025641026,5.0,10.439013815811034,1,47
q-fin.PR,11,4.818181818181818,3.0,5.095452518043551,1,18
q-fin.RM,42,14.071428571428571,7.0,21.399102850060245,1,98
q-fin.ST,656,18.716463414634145,6.0,41.09027971821067,1,444
q-fin.TR,56,15.267857142857142,5.0,32.21376954117521,1,182
quant-ph,284,26.190140845070424,9.0,48.68858757139508,1,372
stat.AP,154,18.57792207792208,5.0,51.696421851568466,1,500
stat.CO,84,17.75,6.0,32.91203134461494,1,183
stat.ME,748,12.878342245989305,5.0,29.21974926622812,1,379
stat.ML,921,32.62975027144408,9.0,69.20526136729654,1,500
stat.OT,15,18.333333333333332,3.0,31.540601196069865,1,121
